"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"8/12/2024","Interlibrary Loans","Orcas Island Library","500 Rose St Eastsound WA 98245-9453","US","Library Mail","5.11","2 lbs ","23"
"4/4/2024","Interlibrary Loan","Fort Bend County Libraries","1001 Golfview Dr Richmond TX 77469-5141","US","Library Mail","4.62","2 lbs ","23"
"4/22/2024","Interlibrary Loan","Birmingham Public Library","2100 Park Pl Birmingham AL 35203-2794","US","Library Mail","3.92","1 lbs ","23"
"4/4/2024","Interlibrary Loan","Rapides Parish Library","411 Washington St Alexandria LA 71301-8338","US","Library Mail","3.92","1 lbs ","23"
"4/9/2024","Interlibrary Loan","Columbus Metropolitan Library","""400 W Johnstown Rd, Ste 100 Gahanna OH 43230-2733""","US","Library Mail","3.92","1 lbs ","22"
"4/2/2024","ILL Returns","Winnefox Library System","106 Washington Ave Oshkosh WI 54901-4933","US","Library Mail","3.92","1 lbs ","22"
"4/11/2024","Interlibrary Loan","Des Plaines Public Library","1501 Ellinwood Ave Des Plaines IL 60016-4553","US","Library Mail","3.92","1 lbs ","22"
"4/3/2024","Interlibrary Loan","Finger Lakes Library System","1300 Dryden Rd Ithaca NY 14850-8734","US","Library Mail","6.02","4 lbs ","22"
"4/4/2024","Interlibrary Loan Dept","Carnegie Library of Pittsburgh","50 Alexander St Pittsburgh PA 15220-5502","US","Library Mail","3.92","1 lbs ","21"
"4/29/2024","Interlibrary Loan","Topeka & Shawnee County Public Library","1515 SW 10th Ave Topeka KS 66604-1374","US","Library Mail","4.62","2 lbs ","21"
"4/16/2024","ILL Department","Monroe County Public Library","303 E Kirkwood Ave Bloomington IN 47408-3592","US","Library Mail","3.92","1 lbs ","21"
"8/14/2024","Washington State Library Services","Coyote Ridge Corrections Center Library","1301 N Ephrata Ave Connell WA 99326-9601","US","Library Mail","5.11","2 lbs ","21"
"4/4/2024","Interlibrary Loan","St Louis Public Library","1415 Olive St Saint Louis MO 63103-2389","US","Library Mail","3.92","1 lbs ","21"
"4/18/2024","Library","Airway Heights Corrections Center","PO Box 1899 11919 W Sprague Ave Airway Heights WA 99001-1899","US","Library Mail","3.92","1 lbs ","21"
"4/2/2024","Interlibrary Loan","Great River Regional Library","1300 W Germain St Saint Cloud MN 56301-3414","US","Library Mail","4.62","2 lbs ","21"
"4/2/2024","Hurst Library - ILL Borrowing","Northwest University","PO Box 579 Kirkland WA 98083-0579","US","Library Mail","4.62","2 lbs ","21"
"4/17/2024","Interlibrary Loan","Broward County Main Library","100 S Andrews Ave Fort Lauderdale FL 33301-1830","US","Library Mail","6.02","4 lbs ","21"
"8/13/2024","Interlibrary Loan","Omaha Public Library","3020 S 84th St Omaha NE 68124-3215","US","Library Mail","4.40","1 lbs ","21"
"4/23/2024","Founders Memorial Library - IDS Dept","Northern Illinois University","180 Stadium Dr Dekalb IL 60115-2720","US","Library Mail","4.62","2 lbs ","20"
"4/17/2024","Cudahy Library Interliibrary Loan","Loyola University Chicago","1032 W Sheridan Rd Chicago IL 60660-1537","US","Library Mail","13.8","15 lbs ","20"
"4/11/2024","Buswell Library - ILL","Wheaton College","421 N Chase St Wheaton IL 60187-4212","US","Library Mail","4.62","2 lbs ","20"
"4/4/2024","Interlibrary Loan - MC33","University of Texas at Dallas Libraries","800 W Campbell Rd Richardson TX 75080-3021","US","Library Mail","3.92","1 lbs ","19"
"4/10/2024","Interlibrary Loan","Emmaus Bible College Library","2570 Asbury Rd Dubuque IA 52001-3096","US","Library Mail","4.62","2 lbs ","19"
"4/5/2024","Interlibrary Loan","LeRoy Collins Leon County Public Library","200 W Park Ave Tallahassee FL 32301-7716","US","Library Mail","3.92","1 lbs ","19"
"4/15/2024","Palm Beach County Library System ILL","","3650 Summit Blvd West Palm Beach FL 33406-4114","US","Library Mail","5.32","3 lbs ","19"
"8/13/2024","Interlibrary Loan","Palos Verdes Library District","701 Sil Spur Rd Rolling Hills Estates CA 90274-3603","US","Library Mail","4.40","1 lbs ","19"
"4/10/2024","Interlibrary Loan","Davis County Library","PO Box 115 Farmington UT 84025-0115","US","Library Mail","5.32","3 lbs ","19"
"4/4/2024","Library Administration - ILL","Harris County Public Library System","5749 South Loop E Houston TX 77033-1604","US","Library Mail","3.92","1 lbs ","19"
"4/9/2024","Interlibrary Loan","Siuslaw Public Library","1460 9th St Florence OR 97439-9427","US","Library Mail","4.62","2 lbs ","19"
"4/29/2024","Coates Library - ILL","Trinity University","607 Kings Ct San Antonio TX 78212-5317","US","Library Mail","3.92","1 lbs ","18"
"4/15/2024","Victory Branch Library - ILL","","10664 W Victory Rd Boise ID 83709-3962","US","Library Mail","4.62","2 lbs ","18"
"8/30/2024","Interlibrary Loan","St Charles City-County Library District","PO Box 529 Saint Peters MO 63376-0091","US","Library Mail","4.40","1 lbs ","18"
"4/3/2024","Interlibrary Loan Dept","Chester County Library & District Center","450 Exton Square Pkwy Exton PA 19341-2458","US","Library Mail","4.62","2 lbs ","18"
"4/16/2024","Interlibrary Loan","Liberty Lake Municipal Library","23123 E Mission Ave Liberty Lake WA 99019-8514","US","Library Mail","3.92","1 lbs ","18"
"4/5/2024","Oviatt Library - Interlibrary Loan","""California State University, Northridge""","18111 Nordhoff St Northridge CA 91330-8327","US","Library Mail","5.32","3 lbs ","18"
"4/4/2024","Interlibrary Loan","Libraries of Stevens County","PO Box 500 Kettle Falls WA 99141-0500","US","Library Mail","3.92","1 lbs ","18"
"4/4/2024","Interlibrary Loan","ImagineIF Libraries","247 1st Ave E Kalispell MT 59901-4560","US","Library Mail","5.32","3 lbs ","18"
"4/29/2024","ILL - Milo Dept","Enoch Pratt Free Library","400 Cathedral St Baltimore MD 21201-4484","US","Library Mail","3.92","1 lbs ","18"
"4/4/2024","Interlibrary Loan","Flagstaff Public Library","300 W Aspen Ave Flagstaff AZ 86001-5304","US","Library Mail","5.32","3 lbs ","17"
